judul,waktu,isi
Terdeteksi Ada 2000 Warga di Lampung Timur Menganut Aliran Kepercayaan,"Jumat 26-07-2024,20:29 WIB","
                                                                                        
                                         
                                             
                                                                              - Sedikitnya, diperkirakan ada 2000 Warga yang tersebar di 264 Desa, 24 Kecamatan se-Lampung Timur, Terdeteksi Menganut  .
 Pendeteksian itu, terungkap Jumat pagi tadi, 26 Juli 2024, dalam Rapat Kordinasi Pengawasan Aliran Kepercayaan (PAKEM) yang dilaksanakan di Aula Gedung Kejari Lampung Timur.
 Kasi Intel Kejari Lampung Timur, Dr Rony mengatakan, Kegiatan tersebut, bertujuan sebagai pengawasan dan pencegahan dini, apabila ada persoalan di Masyarakat, terkait isu-isu yang berpotensi dapat menimbulkan kegaduhan.
 ""Alhamdullilah, Selama ini Toleransi antar umat beragama di Lamtim sangat tinggi, walaupun ada warga yang menganut Aliran Kepercayaan, ataupun agama lain, tapi mereka damai, hidup berdampingan, saling menghargai dan menghormati,"" jelas Rony.
 
 Sementara, Kepala   Lamtim, Syahrul Syah menambahkan, dari Laporan Disdukcapil Lamtim ke  , sedikit ada 400 warga Penganut Aliran Kepercayaan.
 ""Saya berharap agar di kolom agama pada  KTP (Kartu Tanda Penduduk) dapat tertulis Aliran Kepercayaan,"" ucapnya.
 Menurutnya, saat ini, jumlah Aliran Kepercayaan di Lamtim, terdata ada 13 untuk keanggotaannya. Lebih kurang 2000 warga yang terdeteksi menganut Kepercayaan.
 
 ""Tapi, itu hanya deteksi perkiraan sementara, bukan data kongkrit. Semuanya dapat berubah,"" ungkap Syahrul. (*) Cek Berita dan Artikel yang lain di  
                                "
Tok! Pelaku Pemerkosa Tetangga Divonis 10 Tahun Denda Rp 500 Juta Rupiah,"Kamis 04-07-2024,19:01 WIB","
                                                                                        
                                         
                                             
                                                                              - Terdakwa kasus Pemerkosa, yang terjadi di Kecamatan Marga Tiga, Lampung Timur, Kamis sore 4 Juli 2024, di   hukuman 10 tahun penjara oleh Pengadilan Negeri Sukadana, Lampung Timur.
 Hukuman tersebut, sesuai dengan tuntutan Jaksa Penuntut Umum ( ) Kejari Lamtim dengan denda Rp 500.000.000 (Lima Ratus Juta Rupiah) atau Subsideir 6 (Enam) bulan Pidana Penjara.
 Sidang Putusan yang digelar di Pengadilan Negeri Sukadana, yang diketuai Majelis Hakim Ratna Widianing Putri, itu Majelis Hakim berkeyakinan terdakwa AP (25), telah melanggar Pasal 81 Ayat 3 undang-undang RI, Nomor 17 Tahun 2016 tentang Perlindungan Anak.
 Dalam dakwah sebelumnya, terdakwa AP bersama dua (2) terdakwa anak dibawah umur, (sudah terlebih dahulu di vonis HM 3th 6 bulan dan MR dijatuhi Hukuman Pidana 3 th penjara), telah melakukan perbuatan tindak pidana kekerasan seksual  terhadap anak korban, secara bergantian.
 
 Menanggapi Putusan itu, JPU Kejari Lamtim, Rizky Ramadhan, mengapresiasi keputusan tersebut.
 ""Kami selaku tim JPU Mengapresiasi atas Vonis Majelis Hakim, yang telah sesuai dengan tuntutan,"" ungkapnya.
 Menurutnya, pertimbangan JPU dalam menuntut Terdakwa AP, dikarenakan perbuatan para terdakwa mengakibatkan Trauma pada anak korban secara Fisik mau Pshikis.
 
 ""Bahkan, saat ini korban mengalami putus sekolah,"" terang Riszy JPU Kejari Lamtim (*) Cek Berita dan Artikel yang lain di  
                                "
Geger! IRT di Lampung Timur Ditemukan Tewas Terbungkus Karung,"Kamis 18-07-2024,20:45 WIB","
                                                                                        
                                         
                                             
                                                                              - Warga Desa Rajabasa Lama, Kecamatan Labuhan Ratu, Lampung Timur, sempat dibuat geger.
 Ini setelah sebuah Karung berisi  , sekira pukul 11.50 Wib, Kamis siang tadi, ditemukan oleh salah petani dalam kondisi mengenaskan.
 Ironisnya, jasad yang sudah terbungkus itu, diduga sengaja digeletakan diatas kabin motor, di Area Perkebunan Jagung. Mayat tersebut, ditemukan oleh seseorang tak dikenal.
 Ternyata, mayat itu merupakan seorang ibu Rumah Tangga ( ) berinisial TN 30 th, warga Desa Rajabasa Lama, Kecamatan Labuhan Ratu, Lampung Timur.
 
 Riyanto, kakak Korban menjelaskan, sejak Rabu 17 Juli 2024, Korban pergi dengan menggunakan sepeda motor miliknya.
 ""Setelah dicari, kami tidak menemukan korban dimana-mana,"" ungkap Riyanto.
 Menurutnya, sehari kemudian, Kamis siang tadi, Adiknya ditemukan dalam kondisi sudah meninggal dunia, terbungkus dalam karung.
 Sementara, Ipda Sunarso KBO Reskrim Polres Lampung Timur, mengatakan, setelah dilakukan Olah TKP oleh Tim Inafis, korban dibawa ke rumah sakit umum Sukadana.
 
 ""Nanti, selanjutnya akan dibawa ke Rumah sakit Bhayangkara Polda Lampung, untuk dilakukan Otopsi, supaya bisa mengetahui secara terang penyebab Kematian Korban,"" katanya.
 Namun, sambung Sunarso, jika melihat dari kondisi jasad korban, diperkirakan TN merupakan korban  .
 ""Kalau kesimpulan awal, korban ini merupakan korban pembunuhan. Tapi nanti akan kami selidiki lebih lanjut,"" ungkap Ipda Sunarso, mewakili Kasat Reskrim Polres Lampung Timur.
 
 Cek Berita dan Artikel yang lain di  
                                "
"Ela Siap Berlayar di Pilkada Lampung Timur, Petahana Tak dapat Partai?","Senin 22-07-2024,21:02 WIB","
                                                                                        
                                         
                                             
                                                                              -   siap berlayar pada Pilkada Lampung Timur untuk mencalonkan diri sebagai Bupati.
 Setelah mendapat   dari DPP PKB, Ela juga mendapat surat tugas dari 2 partai lain, yakni Partai Nasdem dan Gerindra.
 Hal tersebut diungkapkan Ketua DPW PKB Chusnunia Chalim yang secara resmi mengumumkan dan membacakan surat rekomendasi dari DPP PKB sebagai Bakal Calon Bupati Lampung Timur.
 ""Dengan ini, PKB mengusung dan merekomendasikan Siti Ela Marhamah sebagai Bakal Calon Bupati Lampung Timur,"" ungkap Nunik-sapaan akrabnya, di Kecamatan Labuhan Ratu, Lampung Timur, Senin, 22 Juli 2024.
 
 Selain PKB dan Nasdem sebagai Bakal Perahu, Anggota DPR RI dari PKB itu, juga mendapatkan Surat Tugas dari Partai Gerindra yang langsung diserahkan oleh ketua DPD Gerindra Lampung, Rahmat Mirzani Djausal (RMD). 
 Ela yang mendapatkan rekomendasi dari Partai PKB, membuat Petahana yang saat ini menjabat sebagai   sekaligus Ketua DPC PKB belum mendapatkan rekomendasi dari partai manapun.
 Terkait kabar itu, radarlampung.co.id mencoba menghubungi Bupati Lamtim, Dawam Raharjo. Namun, hingga berita ini ditayangkan, belum ada konfirmasi hal tersebut.
 Informasi yang dihimpun, Partai Golkar akan mencalonkan Azwar hadi sebagai bakal Bupati Lampung Timur.
 
 Saat ini Partai tersisa hanya PDIP dan Demokrat, sementara PKS dan PAN, dikabarkan akan merapatkan barisan bersama Ela. (*) Cek Berita dan Artikel yang lain di  
                                "
Ela Geser Dawam Raharjo sebagai Ketua DPC PKB Lampung Timur,"Rabu 24-07-2024,20:29 WIB","
                                                                                        
                                         
                                             
                                                                              - Usai diberi Rekomendasi sebagai Calon Bupati Lampung Timur dari PKB (Partai Kebangkitan Bangsa), Siti Ela Marhamah kembali menduduki jabatan yang saat ini dipegang oleh   yakni Ketua   Lamtim.
 Ya, saat ini, Dawam Rahardjo yang merupakan Bupati Lamtim yang juga sebagai Ketua DPC PKB, posisinya bakal digantikan Siti Ela Marhamah.
 Siti Ela Marhamah ditunjuk oleh DPP PKB sebagai Plt. ketua DPC PKB Lampung Timur menggantikan Dawam Rahardjo. 
 Bahkan, posisi Rekomendasi Bakal Calon Bupati Lamtim, yang saat Pilkada tahun lalu milik Dawam Rahardjo, kini, rekomendasi pada Pilkada tahun 2024 ini jatuh ke Situ Ela Marhamah.
 
 Ela-sapaan akrabnya- mengaku bahwa dirinya telah ditunjuk sebagai Plt. Ketua DPC PKB Lampung Timur.
 ""Saat ini, saya ditunjuk sebagai Plt Ketua DPC PKB Lamtim. Tapi pak Dawam masih sebagai Kader PKB. Saya hanya menggantikan sementara saja,"" kata Ela, saat mengunjungi Kantor DPD Golkar Lampung Timur, sekaligus bersilaturahmi dengan para pengurus dan Kader Golkar se-Lampung Timur, Rabu 24 Juli 2024.
 Sementara, Dawam Rahardjo Bupati Lampung Timur, saat akan dikonfirmasi terkait berita itu, sedang tidak ada ditempat. (*) Cek Berita dan Artikel yang lain di  
                                "
Lelang E Katalog Dinas PUPR Lampung Timur Disinyalir Syarat KKN,"Senin 08-07-2024,19:17 WIB","
                                                                                        
                                         
                                             
                                                                              - Pengadaan Barang dan Jasa, melalui lelang sistim Katalog Elektronik atau E-Katalog, pada Dana Alokasi Khusus atau DAK dan Dana Alokasi Umum pada Dinas PUPR Lampung Timur dinilai tidak Transparan, bahkan terindikasi Syarat   Korupsi Nepotisme (KKN)
 Hal itu terungkap saat Ketua Gabpeknas Lamtim bersama beberapa Rekanan mendatangi Kantor Dinas Pekerjaan Umum Perumahan Rakyat (PUPR) Lampung Timur Senin, 8 Juli 2024.
 Menurut Maradoni, Lelang Barang dan jasa pada Kegiatan yang bersumber dari Dana Alokasi Khusus (DAK) maupun Dana Alokasi Umum (DAU) tahun 2024, disinyalir berbau Kolusi.
 ""Bahkan, Lelang dengan Sistim Katalog Elektronik atau (E-Katalog) sudah ada Pengantinnya alias sudah ditetapkan pemenangnya,"" ungkap Doni ketua Gabpeknas Lamtim.
 
 Menurutnya, hal tersebut diduga pengantin atau Pemenang Lelang E-Katalog DAK maupun DAU untuk kegiatan Infrastruktur dengan Anggaran Milyaran Rupiah itu merupakan Permainan dari Oknum PPK (Pejabat Pembuat Komitmen) yang disinyalir ada keterlibatan PLt Kadis PUPR Lampung Timur dalam menentukan dalam pemenang lelang itu.
 Sementara, Sirojudin Kabid Pemeliharaan Jalan dan Jembatan selaku PPK, saat ditemui diruang kerja nya sedang tidak ada ditempat, (*) Cek Berita dan Artikel yang lain di  
                                "
"Sembunyikan Sabu Di Bawah Jok Motor, Warga Lampung Timur Digelandang ke Kantor Polisi ","Sabtu 20-07-2024,19:34 WIB","
                                                                                        
                                         
                                             
                                                                              - Anggota Polsek Labuhan Maringgai, Polres   Timur mengamankan NW, yang kedapatan membawa  .
 Penangkapan terhadap warga Kecamatan Labuhan Maringgai tersebut dilakukan saat polisi melakukan patroli hunting C3 (curat, curas dan curanmor)
 Kapolsek Labuhan Maringgai AKP Supriyanto Husin menyebutkan, saat patroli hunting C3, pihaknya mendapat informasi adanya warga yang diduga memiliki narkoba. 
 Menindaklanjuti informasi tersebut, anggota Unit Reskrim Polsek Labuhan Maringgai melakukan penyelidikan. 
 
 
 ""Pada saat di jalan Desa Sri Gading, ada pengendara motor yang dicurigai. Ketika hendak diberhentikan, yang bersangkutan mencoba kabur,"" kata AKP Supriyanto Husin. 
 Melihat gelagat mencurigakan, polisi bergerak cepat melakukan pemeriksaan. NW sempat mengelak. 
 Namun saat digeledah, dari bawah jok motor ditemukan delapan plastik klip kecil berisi kristal diduga sabu. 
 Tidak hanya itu. Polisi juga menemukan satu buah bong (alat hisap sabu, Red) dan korek api. 
 
 
 ""Saat ini terduga NW sudah kami serahkan ke Satresnarkoba Polres Lampung Timur, untuk dilakukan pemeriksaan lebih lanjut,"" ujarnya. (*) Cek Berita dan Artikel yang lain di  
                                "
"Tim Resmob Polres Lamtim Bergerak, Duo Target Operasi Ini Kena Ciduk","Senin 06-05-2024,19:23 WIB","
                                                                                        
                                         
                                             
                                                                             radarlampung.co.id-Belum genap sepekan setelah operasi Sikat Krakatau 2024 digelar, Tim Resmob Polres  , minggu 5 Mei 2024 berhasil membekuk Dua tersangka pencurian dengan pemberatan yang terjadi di wilayah Hukum  ,.
 Kedua Pelaku Curat yang sudah menjadi Target Operasi ( TO ) yakni, HR Warga Kecamatan Melinting, dan WH warga Kecamatan Sekampung Udik.
 Hal ini disampaikan Kasat Reskrim   Iptu Maulana, mewakili Kapolres.
 
 Dijelaskannya, kedua tersangka ditangkap dengan dasar laporan polisi yang berbeda.
 “HR merupakan pelaku Pencurian di wilayah hukum Kecamatan Pasir Sakti, Lampung Timur, November 2021 silam, tepat nya di salah satu gubuk Diarea pertambakan,” kata Maulana.
 Saat itu HR diduga menggondol satu buah Hp, dan satu unit sepeda motor Honda Supra X 125 milik korban. HR beraksi sekitar pukul 03.00 Wib dini hari saat korbannya tengah tertidur lelap. 
 
 “Akibatnya korban mengalami Kerugian Rp. 12.700.000,” katanya. 
 Sementara WH diduga beraksi menggondol dua bak air stenlis milik PT. Agro Prima Sejahtera. Aksi pencurian ini terjadi di wilayah kecamatan Sekampung Udik. 
 WH, lanjut Maulana diduga membongkar kedua bak air dan kemudian membawanya kabur. Kerugian ditaksir akibat perbuatan WH mencapai Rp70 juta. 
 'Kini kedua masih dalam pemeriksaan petugas di Mapolres Lampung Timur,” tutup Maulana. (din) Cek Berita dan Artikel yang lain di  
                                "
"Ssst...Kejari Lampung Timur Usut Perkara Dugaan Korupsi Anggaran, Akan Ada Jemput Paksa? ","Senin 06-05-2024,22:43 WIB","
                                                                                        
                                         
                                             
                                                                             -Kejaksaan Negeri atau Kejari   diam-diam tengah menggarap perkara dugaan tindak pidana  . 
 Informasi yang diperoleh, tim penyidik pidana khusus atau pidsus telah melayangkan surat panggilan pertama pada Selasa 30 April 2024 lalu. 
 Surat panggilan itu ditujukan kepada dua orang. 
 
 Dan, pada Senin 6 Mei 2024, tim penyidik kembali melayangkan surat panggilan kedua. 
 Hal ini dibenarkan Kasi Pidsus Marwan Jaya Putra saat ditemui di ruang kerjanya, Senin 6 Mei 2024. 
 Sayangnya, Marwan masih belum berkomentar banyak terkait perkara apa yang tengah diusut oleh pihak  . 
 Hanya saja, dirinya membenarkan perkara tersebut terkait dugaan korupsi anggaran tahun 2021.
  
 Hanya saja dirinya menyatakan, kedua orang dimaksud mangkir dari panggilan. Satu orang beralasan sakit sementara seorang lainnya tidak ada keterangan. 
 Rencananya, lanjut Marwan, tim penyidik pidsus Kejari Lamtim akan melayangkan surat panggilan ketiga pada Rabu 8 Mei 2024 mendatang. 
 ""Namun apabila panggilan ketiga tetap tidak diindahkan atau mangkir, tim penyidik pidsus akan mendatangi rumah keduanya dan melakukan upaya paksa,” katanya. 
 
 Terkait perkara itu, pihaknya sudah menggelar ekspos dan menggandeng BPKP Lampung dalam audit penghitungan kerugian negara. 
 Cek Berita dan Artikel yang lain di  
                                "
"Diduga Terlibat Kasus Perampasan, Oknum Anggota Polres Lampung Timur Dilaporkan","Rabu 05-06-2024,19:23 WIB","
                                                                                        
                                         
                                             
                                                                                  dilaporkan ke Polres setempat karena diduga melakukan   terhadap korbannya.
 Hal itu terungkap, saat Komari Kuasa Hukum Daiman (Korban) Rabu 5 Juni 2024, siang tadi mendatangi Mapolres Lampung Timur.
 ""Kedatangan nya hanya untuk menanyakan tindaklanjut atas Laporan dugaan Perampasan yang di duga dilakukan Oleh yakni SC, MS dan seorang Oknum angota Polres Lampung Timur Yakni Bripka AM yang diduga ikut dalam kasus tersebut,"" terangnya.
 Komari menjelaskan, Peristiwa itu berawal dari Terlapor SC menjual Mobil Panther Seharga Rp 70.000.000 (Tujuh Puluh Juta Rupiah) Kepada Rekannya WO, selang beberapa hari kemudian, WO menjual Mobil Itu kepada Korban (Daiman).
 
 Namun, selang beberapa Hari, Daiman (Korban) secara tiba - tiba dipanggil oleh Terlapor SC, untuk datang ke rumah SC, katanya.
 ""Setiba Rumah kediaman SC, yang berada di Kecamatan Batanghari, secara terang terangan, SC meminta Surat Menyurat Mobil Panther Milik Korban' yang dibeli dari WO,"" jelas Komari, diruang Penyidik Mapolres Lampung Timur.
 Bahkan, sambung Komari, saat itu, Bripka AM, yang berada di rumah SC, juga ikut mengintimidasi dengan menyebut Pasal 480 KUHP (tentang Penadah Hasil barang Kejahatan) kepada Korban.
 Hak itu agar Mobil dan Surat menyurat Kendaraan yg sudah dibeli dari WO diserahkan Kepada SC.
 
 ""Karena takut, Ahirnya Korban menyerahkan Surat kendaraan kepada SC, Begitupun dengan Mobil Panther milik Korban yang  sudah diperbaiki di Bengkel, dibawa oleh MS  Rekan SC,"" beber komarim
 Sementara, KBO Reskrim Polres Lampung Timur, Iptu Sunarso, membenarkan ada nya pengaduan tersebut, namun dirinya belum dapat memberikan keterangan lebih detail atas Pengaduan itu, (*) Cek Berita dan Artikel yang lain di  
                                "
